draw_id,date,round,stage,round_label,home_team,away_team,fixture_id
draw-aa005-r1-bltc-aspendale,18 Jul 26,1,regular,Round 1,BLTC,Aspendale,
draw-aa005-r1-carmelite-glen-huntly,18 Jul 26,1,regular,Round 1,Carmelite,Glen Huntly,
draw-aa005-r1-coatesville-white-coatesville-blue,18 Jul 26,1,regular,Round 1,Coatesville White,Coatesville Blue,
draw-aa005-r1-maccabi-kooyong,18 Jul 26,1,regular,Round 1,Maccabi,Kooyong,
draw-aa005-r2-aspendale-carmelite,25 Jul 26,2,regular,Round 2,Aspendale,Carmelite,
draw-aa005-r2-coatesville-blue-bltc,25 Jul 26,2,regular,Round 2,Coatesville Blue,BLTC,
draw-aa005-r2-glen-huntly-maccabi,25 Jul 26,2,regular,Round 2,Glen Huntly,Maccabi,
draw-aa005-r2-kooyong-coatesville-white,25 Jul 26,2,regular,Round 2,Kooyong,Coatesville White,
draw-aa005-r3-bltc-kooyong,1 Aug 26,3,regular,Round 3,BLTC,Kooyong,
draw-aa005-r3-carmelite-coatesville-blue,1 Aug 26,3,regular,Round 3,Carmelite,Coatesville Blue,
draw-aa005-r3-coatesville-white-glen-huntly,1 Aug 26,3,regular,Round 3,Coatesville White,Glen Huntly,
draw-aa005-r3-maccabi-aspendale,1 Aug 26,3,regular,Round 3,Maccabi,Aspendale,
draw-aa005-r4-aspendale-coatesville-white,8 Aug 26,4,regular,Round 4,Aspendale,Coatesville White,
draw-aa005-r4-coatesville-blue-maccabi,8 Aug 26,4,regular,Round 4,Coatesville Blue,Maccabi,
draw-aa005-r4-glen-huntly-bltc,8 Aug 26,4,regular,Round 4,Glen Huntly,BLTC,
draw-aa005-r4-kooyong-carmelite,8 Aug 26,4,regular,Round 4,Kooyong,Carmelite,
draw-aa005-r5-aspendale-coatesville-blue,15 Aug 26,5,regular,Round 5,Aspendale,Coatesville Blue,
draw-aa005-r5-carmelite-maccabi,15 Aug 26,5,regular,Round 5,Carmelite,Maccabi,
draw-aa005-r5-coatesville-white-bltc,15 Aug 26,5,regular,Round 5,Coatesville White,BLTC,
draw-aa005-r5-kooyong-glen-huntly,15 Aug 26,5,regular,Round 5,Kooyong,Glen Huntly,
draw-aa005-r6-bltc-carmelite,22 Aug 26,6,regular,Round 6,BLTC,Carmelite,
draw-aa005-r6-coatesville-blue-kooyong,22 Aug 26,6,regular,Round 6,Coatesville Blue,Kooyong,
draw-aa005-r6-glen-huntly-aspendale,22 Aug 26,6,regular,Round 6,Glen Huntly,Aspendale,
draw-aa005-r6-maccabi-coatesville-white,22 Aug 26,6,regular,Round 6,Maccabi,Coatesville White,
draw-aa005-r7-bltc-maccabi,29 Aug 26,7,regular,Round 7,BLTC,Maccabi,
draw-aa005-r7-coatesville-white-carmelite,29 Aug 26,7,regular,Round 7,Coatesville White,Carmelite,
draw-aa005-r7-glen-huntly-coatesville-blue,29 Aug 26,7,regular,Round 7,Glen Huntly,Coatesville Blue,
draw-aa005-r7-kooyong-aspendale,29 Aug 26,7,regular,Round 7,Kooyong,Aspendale,
draw-aa005-r8-aspendale-bltc,5 Sep 26,8,regular,Round 8,Aspendale,BLTC,
draw-aa005-r8-coatesville-blue-coatesville-white,5 Sep 26,8,regular,Round 8,Coatesville Blue,Coatesville White,
draw-aa005-r8-glen-huntly-carmelite,5 Sep 26,8,regular,Round 8,Glen Huntly,Carmelite,
draw-aa005-r8-kooyong-maccabi,5 Sep 26,8,regular,Round 8,Kooyong,Maccabi,
draw-aa005-r9-bltc-coatesville-blue,12 Sep 26,9,regular,Round 9,BLTC,Coatesville Blue,
draw-aa005-r9-carmelite-aspendale,12 Sep 26,9,regular,Round 9,Carmelite,Aspendale,
draw-aa005-r9-coatesville-white-kooyong,12 Sep 26,9,regular,Round 9,Coatesville White,Kooyong,
draw-aa005-r9-maccabi-glen-huntly,12 Sep 26,9,regular,Round 9,Maccabi,Glen Huntly,
draw-aa005-r10-aspendale-maccabi,10 Oct 26,10,regular,Round 10,Aspendale,Maccabi,
draw-aa005-r10-coatesville-blue-carmelite,10 Oct 26,10,regular,Round 10,Coatesville Blue,Carmelite,
draw-aa005-r10-glen-huntly-coatesville-white,10 Oct 26,10,regular,Round 10,Glen Huntly,Coatesville White,
draw-aa005-r10-kooyong-bltc,10 Oct 26,10,regular,Round 10,Kooyong,BLTC,
draw-aa005-r11-bltc-glen-huntly,17 Oct 26,11,regular,Round 11,BLTC,Glen Huntly,
draw-aa005-r11-carmelite-kooyong,17 Oct 26,11,regular,Round 11,Carmelite,Kooyong,
draw-aa005-r11-coatesville-white-aspendale,17 Oct 26,11,regular,Round 11,Coatesville White,Aspendale,
draw-aa005-r11-maccabi-coatesville-blue,17 Oct 26,11,regular,Round 11,Maccabi,Coatesville Blue,
draw-aa005-r12-bltc-coatesville-white,24 Oct 26,12,regular,Round 12,BLTC,Coatesville White,
draw-aa005-r12-coatesville-blue-aspendale,24 Oct 26,12,regular,Round 12,Coatesville Blue,Aspendale,
draw-aa005-r12-glen-huntly-kooyong,24 Oct 26,12,regular,Round 12,Glen Huntly,Kooyong,
draw-aa005-r12-maccabi-carmelite,24 Oct 26,12,regular,Round 12,Maccabi,Carmelite,
