fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA007011,21 Jul 24,1,regular,Round 1,Victory Park,BLTC Blue,7,3,3,3,,,26,21,Completed,
UA007012,21 Jul 24,1,regular,Round 1,Black Rock,Royal Ave,8,2,4,2,,,32,22,Completed,
UA007013,21 Jul 24,1,regular,Round 1,St James Yellow,St James Green,8,2,4,2,,,28,28,Completed,
UA007014,21 Jul 24,1,regular,Round 1,Glen Huntly,Kings Park,8,2,4,2,,,29,23,Completed,
UA007022,28 Jul 24,2,regular,Round 2,BLTC Blue,Black Rock,8,2,4,2,,,32,23,Completed,
pending-ua007-r2-kings-park-victory-park,28 Jul 24,2,regular,Round 2,Kings Park,Victory Park,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua007-r2-royal-ave-st-james-yellow,28 Jul 24,2,regular,Round 2,Royal Ave,St James Yellow,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua007-r2-st-james-green-glen-huntly,28 Jul 24,2,regular,Round 2,St James Green,Glen Huntly,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA007031,04 Aug 24,3,regular,Round 3,Victory Park,St James Green,1,9,1,5,,,13,32,Completed,
UA007032,04 Aug 24,3,regular,Round 3,Black Rock,Kings Park,10,0,6,0,,,36,1,Completed,
UA007033,04 Aug 24,3,regular,Round 3,St James Yellow,BLTC Blue,3,7,3,3,,,27,32,Completed,
UA007034,04 Aug 24,3,regular,Round 3,Glen Huntly,Royal Ave,8,2,4,2,,,30,21,Completed,
UA007041,11 Aug 24,4,regular,Round 4,Royal Ave,Victory Park,8,2,4,2,,,29,28,Completed,
UA007042,11 Aug 24,4,regular,Round 4,St James Green,Black Rock,8,2,4,2,,,31,20,Completed,
UA007043,11 Aug 24,4,regular,Round 4,Kings Park,St James Yellow,0,10,0,6,,,10,37,Completed,
UA007044,11 Aug 24,4,regular,Round 4,BLTC Blue,Glen Huntly,3,7,3,3,,,30,31,Completed,
UA007051,18 Aug 24,5,regular,Round 5,St James Yellow,Glen Huntly,9,1,5,1,,,32,23,Completed,
UA007052,18 Aug 24,5,regular,Round 5,Kings Park,St James Green,2,8,2,4,,,15,33,Completed,
UA007053,18 Aug 24,5,regular,Round 5,Royal Ave,BLTC Blue,2,8,2,4,,,24,26,Completed,
UA007054,18 Aug 24,5,regular,Round 5,Victory Park,Black Rock,8,2,4,2,,,30,27,Completed,
UA007061,25 Aug 24,6,regular,Round 6,Black Rock,St James Yellow,2,8,2,4,,,22,30,Completed,
UA007062,25 Aug 24,6,regular,Round 6,Glen Huntly,Victory Park,8,2,4,2,,,33,20,Completed,
UA007063,25 Aug 24,6,regular,Round 6,St James Green,Royal Ave,7,3,3,3,,,25,22,Completed,
UA007064,25 Aug 24,6,regular,Round 6,BLTC Blue,Kings Park,10,0,6,0,,,37,13,Completed,
UA007071,01 Sep 24,7,regular,Round 7,Victory Park,St James Yellow,10,0,6,0,,,36,17,Completed,
UA007072,01 Sep 24,7,regular,Round 7,Black Rock,Glen Huntly,1,9,1,5,,,20,34,Completed,
UA007074,01 Sep 24,7,regular,Round 7,St James Green,BLTC Blue,3,7,3,3,,,26,28,Completed,
pending-ua007-r7-kings-park-royal-ave,01 Sep 24,7,regular,Round 7,Kings Park,Royal Ave,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA007081,08 Sep 24,8,regular,Round 8,BLTC Blue,Victory Park,1,9,1,5,,,14,31,Completed,
UA007082,08 Sep 24,8,regular,Round 8,Royal Ave,Black Rock,2,8,2,4,,,26,28,Completed,
UA007083,08 Sep 24,8,regular,Round 8,St James Green,St James Yellow,5,5,3,3,,,29,29,Completed,
UA007084,08 Sep 24,8,regular,Round 8,Kings Park,Glen Huntly,2,8,2,4,,,22,27,Completed,
UA007091,15 Sep 24,9,regular,Round 9,Victory Park,Kings Park,9,1,5,1,,,34,15,Completed,
UA007092,15 Sep 24,9,regular,Round 9,Black Rock,BLTC Blue,1,9,1,5,,,26,36,Completed,
UA007093,15 Sep 24,9,regular,Round 9,St James Yellow,Royal Ave,9,1,5,1,,,34,21,Completed,
UA007094,15 Sep 24,9,regular,Round 9,Glen Huntly,St James Green,9,1,5,1,,,33,21,Completed,
UA007101,13 Oct 24,10,regular,Round 10,St James Green,Victory Park,9,1,5,1,,,34,18,Completed,
UA007102,13 Oct 24,10,regular,Round 10,Kings Park,Black Rock,8,2,4,2,,,27,14,Completed,
UA007103,13 Oct 24,10,regular,Round 10,BLTC Blue,St James Yellow,9,1,5,1,,,35,17,Completed,
UA007104,13 Oct 24,10,regular,Round 10,Royal Ave,Glen Huntly,1,9,1,5,,,18,32,Completed,
UA007111,20 Oct 24,11,regular,Round 11,Victory Park,Royal Ave,8,2,4,2,,,32,24,Completed,
UA007112,20 Oct 24,11,regular,Round 11,Black Rock,St James Green,7,3,3,3,,,26,25,Completed,
UA007113,20 Oct 24,11,regular,Round 11,St James Yellow,Kings Park,10,0,6,0,,,36,5,Completed,
UA007114,20 Oct 24,11,regular,Round 11,Glen Huntly,BLTC Blue,2,8,2,4,,,21,33,Completed,
UA007121,27 Oct 24,12,regular,Round 12,Glen Huntly,St James Yellow,2,8,2,4,,,22,30,Completed,
UA007122,27 Oct 24,12,regular,Round 12,St James Green,Kings Park,10,0,6,0,,,36,5,Completed,
UA007123,27 Oct 24,12,regular,Round 12,BLTC Blue,Royal Ave,2,8,2,4,,,28,29,Completed,
UA007124,27 Oct 24,12,regular,Round 12,Black Rock,Victory Park,8,2,4,2,,,30,27,Completed,
UA007131,10 Nov 24,13,regular,Round 13,St James Yellow,Black Rock,3,7,3,3,,,26,30,Completed,
UA007132,10 Nov 24,13,regular,Round 13,Victory Park,Glen Huntly,8,2,4,2,,,33,31,Completed,
UA007133,10 Nov 24,13,regular,Round 13,Royal Ave,St James Green,3,7,3,3,,,28,30,Completed,
UA007134,10 Nov 24,13,regular,Round 13,Kings Park,BLTC Blue,0,10,0,6,,,8,36,Completed,
UA007141,17 Nov 24,14,regular,Round 14,St James Yellow,Victory Park,8,2,4,2,,,27,24,Completed,
UA007142,17 Nov 24,14,regular,Round 14,Glen Huntly,Black Rock,8,2,4,2,,,31,18,Completed,
UA007143,17 Nov 24,14,regular,Round 14,Royal Ave,Kings Park,10,0,6,0,,,37,15,Completed,
UA007144,17 Nov 24,14,regular,Round 14,BLTC Blue,St James Green,2,8,2,4,,,23,32,Completed,
UA007301,,16,semi_final,Semi-final,BLTC Blue,St James Green,7,3,3,3,,,29,28,Completed,
UA007302,,16,semi_final,Semi-final,St James Yellow,Glen Huntly,2,8,2,4,,,19,32,Completed,
UA007321,,17,grand_final,Grand final · TROLS entry 2,BLTC Blue,Glen Huntly,8,2,4,2,,,32,20,Completed,
