draw_id,date,round,stage,round_label,home_team,away_team,fixture_id
draw-ua002-r1-bltc-blue-bltc-white,19 Jul 26,1,regular,Round 1,BLTC Blue,BLTC White,
draw-ua002-r1-kings-park-bltc-green,19 Jul 26,1,regular,Round 1,Kings Park,BLTC Green,
draw-ua002-r1-kooyong-tennis-world,19 Jul 26,1,regular,Round 1,Kooyong,Tennis World,
draw-ua002-r1-mentone-murrumbeena,19 Jul 26,1,regular,Round 1,Mentone,Murrumbeena,
draw-ua002-r2-bltc-green-kooyong,26 Jul 26,2,regular,Round 2,BLTC Green,Kooyong,
draw-ua002-r2-bltc-white-kings-park,26 Jul 26,2,regular,Round 2,BLTC White,Kings Park,
draw-ua002-r2-murrumbeena-bltc-blue,26 Jul 26,2,regular,Round 2,Murrumbeena,BLTC Blue,
draw-ua002-r2-tennis-world-mentone,26 Jul 26,2,regular,Round 2,Tennis World,Mentone,
draw-ua002-r3-bltc-blue-tennis-world,2 Aug 26,3,regular,Round 3,BLTC Blue,Tennis World,
draw-ua002-r3-kings-park-murrumbeena,2 Aug 26,3,regular,Round 3,Kings Park,Murrumbeena,
draw-ua002-r3-kooyong-bltc-white,2 Aug 26,3,regular,Round 3,Kooyong,BLTC White,
draw-ua002-r3-mentone-bltc-green,2 Aug 26,3,regular,Round 3,Mentone,BLTC Green,
draw-ua002-r4-bltc-green-bltc-blue,9 Aug 26,4,regular,Round 4,BLTC Green,BLTC Blue,
draw-ua002-r4-bltc-white-mentone,9 Aug 26,4,regular,Round 4,BLTC White,Mentone,
draw-ua002-r4-murrumbeena-kooyong,9 Aug 26,4,regular,Round 4,Murrumbeena,Kooyong,
draw-ua002-r4-tennis-world-kings-park,9 Aug 26,4,regular,Round 4,Tennis World,Kings Park,
draw-ua002-r5-bltc-blue-kings-park,16 Aug 26,5,regular,Round 5,BLTC Blue,Kings Park,
draw-ua002-r5-bltc-green-bltc-white,16 Aug 26,5,regular,Round 5,BLTC Green,BLTC White,
draw-ua002-r5-kooyong-mentone,16 Aug 26,5,regular,Round 5,Kooyong,Mentone,
draw-ua002-r5-murrumbeena-tennis-world,16 Aug 26,5,regular,Round 5,Murrumbeena,Tennis World,
draw-ua002-r6-bltc-white-murrumbeena,23 Aug 26,6,regular,Round 6,BLTC White,Murrumbeena,
draw-ua002-r6-kings-park-kooyong,23 Aug 26,6,regular,Round 6,Kings Park,Kooyong,
draw-ua002-r6-mentone-bltc-blue,23 Aug 26,6,regular,Round 6,Mentone,BLTC Blue,
draw-ua002-r6-tennis-world-bltc-green,23 Aug 26,6,regular,Round 6,Tennis World,BLTC Green,
draw-ua002-r7-bltc-blue-kooyong,30 Aug 26,7,regular,Round 7,BLTC Blue,Kooyong,
draw-ua002-r7-kings-park-mentone,30 Aug 26,7,regular,Round 7,Kings Park,Mentone,
draw-ua002-r7-murrumbeena-bltc-green,30 Aug 26,7,regular,Round 7,Murrumbeena,BLTC Green,
draw-ua002-r7-tennis-world-bltc-white,30 Aug 26,7,regular,Round 7,Tennis World,BLTC White,
draw-ua002-r8-bltc-green-kings-park,6 Sep 26,8,regular,Round 8,BLTC Green,Kings Park,
draw-ua002-r8-bltc-white-bltc-blue,6 Sep 26,8,regular,Round 8,BLTC White,BLTC Blue,
draw-ua002-r8-murrumbeena-mentone,6 Sep 26,8,regular,Round 8,Murrumbeena,Mentone,
draw-ua002-r8-tennis-world-kooyong,6 Sep 26,8,regular,Round 8,Tennis World,Kooyong,
draw-ua002-r9-bltc-blue-murrumbeena,13 Sep 26,9,regular,Round 9,BLTC Blue,Murrumbeena,
draw-ua002-r9-kings-park-bltc-white,13 Sep 26,9,regular,Round 9,Kings Park,BLTC White,
draw-ua002-r9-kooyong-bltc-green,13 Sep 26,9,regular,Round 9,Kooyong,BLTC Green,
draw-ua002-r9-mentone-tennis-world,13 Sep 26,9,regular,Round 9,Mentone,Tennis World,
draw-ua002-r10-bltc-green-mentone,11 Oct 26,10,regular,Round 10,BLTC Green,Mentone,
draw-ua002-r10-bltc-white-kooyong,11 Oct 26,10,regular,Round 10,BLTC White,Kooyong,
draw-ua002-r10-murrumbeena-kings-park,11 Oct 26,10,regular,Round 10,Murrumbeena,Kings Park,
draw-ua002-r10-tennis-world-bltc-blue,11 Oct 26,10,regular,Round 10,Tennis World,BLTC Blue,
draw-ua002-r11-bltc-blue-bltc-green,18 Oct 26,11,regular,Round 11,BLTC Blue,BLTC Green,
draw-ua002-r11-kings-park-tennis-world,18 Oct 26,11,regular,Round 11,Kings Park,Tennis World,
draw-ua002-r11-kooyong-murrumbeena,18 Oct 26,11,regular,Round 11,Kooyong,Murrumbeena,
draw-ua002-r11-mentone-bltc-white,18 Oct 26,11,regular,Round 11,Mentone,BLTC White,
draw-ua002-r12-bltc-white-bltc-green,25 Oct 26,12,regular,Round 12,BLTC White,BLTC Green,
draw-ua002-r12-kings-park-bltc-blue,25 Oct 26,12,regular,Round 12,Kings Park,BLTC Blue,
draw-ua002-r12-mentone-kooyong,25 Oct 26,12,regular,Round 12,Mentone,Kooyong,
draw-ua002-r12-tennis-world-murrumbeena,25 Oct 26,12,regular,Round 12,Tennis World,Murrumbeena,
draw-ua002-r13-bltc-blue-mentone,8 Nov 26,13,regular,Round 13,BLTC Blue,Mentone,
draw-ua002-r13-bltc-green-tennis-world,8 Nov 26,13,regular,Round 13,BLTC Green,Tennis World,
draw-ua002-r13-kooyong-kings-park,8 Nov 26,13,regular,Round 13,Kooyong,Kings Park,
draw-ua002-r13-murrumbeena-bltc-white,8 Nov 26,13,regular,Round 13,Murrumbeena,BLTC White,
draw-ua002-r14-bltc-green-murrumbeena,15 Nov 26,14,regular,Round 14,BLTC Green,Murrumbeena,
draw-ua002-r14-bltc-white-tennis-world,15 Nov 26,14,regular,Round 14,BLTC White,Tennis World,
draw-ua002-r14-kooyong-bltc-blue,15 Nov 26,14,regular,Round 14,Kooyong,BLTC Blue,
draw-ua002-r14-mentone-kings-park,15 Nov 26,14,regular,Round 14,Mentone,Kings Park,
draw-ua38-ua002-UA002321,,16,grand_final,Grand final · TROLS entry 2,Glen Huntly,BLTC Red,UA002321
