fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,status
UA009011,19 Jul 26,1,Kooyong,Lauriston,No. 1,Aston Wollin,Dhevesh Jayam,Dhevesh Jayam,2-6,2,6,Completed
UA009011,19 Jul 26,1,Kooyong,Lauriston,No. 2,Elliot Doukas,Siddarth Japati,Elliot Doukas,6-0,6,0,Completed
UA009011,19 Jul 26,1,Kooyong,Lauriston,No. 3,Ari Lohia,Jeffrey Lam,Ari Lohia,6-1,6,1,Completed
UA009011,19 Jul 26,1,Kooyong,Lauriston,No. 4,E 4. Mason James-wurzel,Eitan Novan,Eitan Novan,2-6,2,6,Completed
UA009012,19 Jul 26,1,Coatesville,Victory Park,No. 1,Dax Chen,Torin Hunter,Torin Hunter,6-7,6,7,Completed
UA009012,19 Jul 26,1,Coatesville,Victory Park,No. 2,Timothy Tan,Athharv Balachandar,Athharv Balachandar,3-6,3,6,Completed
UA009012,19 Jul 26,1,Coatesville,Victory Park,No. 3,Xavier Pace,Kiichi Usui,Xavier Pace,6-2,6,2,Completed
UA009012,19 Jul 26,1,Coatesville,Victory Park,No. 4,Noah Ueckerman,Jay Han,Jay Han,3-6,3,6,Completed
UA009013,19 Jul 26,1,BLTC,Kings Park,No. 1,E 1. Jenson Witherington,Lucas Huang,E 1. Jenson Witherington,6-1,6,1,Completed
UA009013,19 Jul 26,1,BLTC,Kings Park,No. 2,Cohen Harris,Jayden Bone,Jayden Bone,2-6,2,6,Completed
UA009013,19 Jul 26,1,BLTC,Kings Park,No. 3,Olivia Hansen,Liam Huang,Olivia Hansen,6-4,6,4,Completed
UA009013,19 Jul 26,1,BLTC,Kings Park,No. 4,Orlando Corelli Tapia,George Si,Orlando Corelli Tapia,6-3,6,3,Completed
UA009014,19 Jul 26,1,Beaumaris CC,St James,No. 1,Amara Naing,E 1. Jackson Chaponnel,E 1. Jackson Chaponnel,3-6,3,6,Completed
UA009014,19 Jul 26,1,Beaumaris CC,St James,No. 2,Tamara Tran,William Cunningham,Tamara Tran,6-3,6,3,Completed
UA009014,19 Jul 26,1,Beaumaris CC,St James,No. 3,Dexter Karlsson,Charlie Pfahl,Dexter Karlsson,6-3,6,3,Completed
UA009014,19 Jul 26,1,Beaumaris CC,St James,No. 4,Jack Van Vuure,Jackson Crinis,Jackson Crinis,4-6,4,6,Completed
UA009021,26 Jul 26,2,St James,Kooyong,No. 1,William Cunningham,Aston Wollin,Aston Wollin,2-6,2,6,Completed
UA009021,26 Jul 26,2,St James,Kooyong,No. 2,Finlay Davies,Freddy Nasis,Freddy Nasis,1-6,1,6,Completed
UA009021,26 Jul 26,2,St James,Kooyong,No. 3,Toby Storer,Elliot Doukas,Elliot Doukas,1-6,1,6,Completed
UA009021,26 Jul 26,2,St James,Kooyong,No. 4,Jackson Crinis,Kaeleb Sanghvi,Kaeleb Sanghvi,2-6,2,6,Completed
UA009022,26 Jul 26,2,Lauriston,Coatesville,No. 1,Kevin Liu,Timothy Tan,Timothy Tan,2-6,2,6,Completed
UA009022,26 Jul 26,2,Lauriston,Coatesville,No. 2,Hayden Bode,Xavier Pace,Hayden Bode,6-2,6,2,Completed
UA009022,26 Jul 26,2,Lauriston,Coatesville,No. 3,Jeffrey Lam,Noah Ueckerman,Jeffrey Lam,6-4,6,4,Completed
UA009022,26 Jul 26,2,Lauriston,Coatesville,No. 4,Benjamin Pham,Kona Smith,Kona Smith,2-6,2,6,Completed
UA009023,26 Jul 26,2,Victory Park,BLTC,No. 1,Torin Hunter,Cohen Harris,Cohen Harris,4-6,4,6,Completed
UA009023,26 Jul 26,2,Victory Park,BLTC,No. 2,Athharv Balachandar,Olivia Hansen,Athharv Balachandar,7-5,7,5,Completed
UA009023,26 Jul 26,2,Victory Park,BLTC,No. 3,Jake Milosz,Orlando Corelli Tapia,Jake Milosz,7-6,7,6,Completed
UA009023,26 Jul 26,2,Victory Park,BLTC,No. 4,Kiichi Usui,James Austin,Kiichi Usui,6-2,6,2,Completed
UA009024,26 Jul 26,2,Kings Park,Beaumaris CC,No. 1,Lucas Huang,Amara Naing,Amara Naing,1-6,1,6,Completed
UA009024,26 Jul 26,2,Kings Park,Beaumaris CC,No. 2,Julian Wang,Tamara Tran,Julian Wang,6-0,6,0,Completed
UA009024,26 Jul 26,2,Kings Park,Beaumaris CC,No. 3,James Shen,Dexter Karlsson,James Shen,6-4,6,4,Completed
UA009024,26 Jul 26,2,Kings Park,Beaumaris CC,No. 4,Liam Huang,Joy Chang,Liam Huang,6-3,6,3,Completed
UA009031,2 Aug 26,3,Kooyong,Kings Park,No. 1,Aston Wollin,Lucas Huang,Aston Wollin,6-2,6,2,Completed
