draw_id,date,round,stage,round_label,home_team,away_team,fixture_id
draw-aa010-r1-coatesville-clarinda,18 Jul 26,1,regular,Round 1,Coatesville,Clarinda,AA010011
draw-aa010-r1-mentone-dtc-st-james,18 Jul 26,1,regular,Round 1,Mentone (DTC),St James,
draw-aa010-r1-st-joan-of-arc-royal-ave,18 Jul 26,1,regular,Round 1,St Joan of Arc,Royal Ave,AA010013
draw-aa010-r2-clarinda-mentone,25 Jul 26,2,regular,Round 2,Clarinda,Mentone,AA010022
draw-aa010-r2-royal-ave-st-louis-de-mont,25 Jul 26,2,regular,Round 2,Royal Ave,St Louis de Mont,AA010024
draw-aa010-r2-st-james-st-joan-of-arc,25 Jul 26,2,regular,Round 2,St James,St Joan of Arc,AA010023
draw-aa010-r3-coatesville-royal-ave,1 Aug 26,3,regular,Round 3,Coatesville,Royal Ave,AA010031
draw-aa010-r3-st-joan-of-arc-clarinda,1 Aug 26,3,regular,Round 3,St Joan of Arc,Clarinda,AA010033
draw-aa010-r3-st-louis-de-mont-st-james,1 Aug 26,3,regular,Round 3,St Louis de Mont,St James,AA010034
draw-aa010-r4-clarinda-st-louis-de-mont,8 Aug 26,4,regular,Round 4,Clarinda,St Louis de Mont,AA010044
draw-aa010-r4-royal-ave-mentone,8 Aug 26,4,regular,Round 4,Royal Ave,Mentone,AA010042
draw-aa010-r4-st-james-coatesville,8 Aug 26,4,regular,Round 4,St James,Coatesville,AA010041
draw-aa010-r5-coatesville-mentone,15 Aug 26,5,regular,Round 5,Coatesville,Mentone,AA010054
draw-aa010-r5-st-james-clarinda,15 Aug 26,5,regular,Round 5,St James,Clarinda,AA010053
draw-aa010-r5-st-joan-of-arc-st-louis-de-mont,15 Aug 26,5,regular,Round 5,St Joan of Arc,St Louis de Mont,AA010051
draw-aa010-r6-mentone-dtc-st-joan-of-arc,22 Aug 26,6,regular,Round 6,Mentone (DTC),St Joan of Arc,
draw-aa010-r6-royal-ave-st-james,22 Aug 26,6,regular,Round 6,Royal Ave,St James,AA010063
draw-aa010-r6-st-louis-de-mont-coatesville,22 Aug 26,6,regular,Round 6,St Louis de Mont,Coatesville,AA010062
draw-aa010-r7-coatesville-st-joan-of-arc,29 Aug 26,7,regular,Round 7,Coatesville,St Joan of Arc,AA010071
draw-aa010-r7-mentone-dtc-st-louis-de-mont,29 Aug 26,7,regular,Round 7,Mentone (DTC),St Louis de Mont,
draw-aa010-r7-royal-ave-clarinda,29 Aug 26,7,regular,Round 7,Royal Ave,Clarinda,AA010074
draw-aa010-r8-clarinda-coatesville,5 Sep 26,8,regular,Round 8,Clarinda,Coatesville,pending-aa010-r8-clarinda-coatesville
draw-aa010-r8-royal-ave-st-joan-of-arc,5 Sep 26,8,regular,Round 8,Royal Ave,St Joan of Arc,pending-aa010-r8-royal-ave-st-joan-of-arc
draw-aa010-r8-st-james-mentone,5 Sep 26,8,regular,Round 8,St James,Mentone,pending-aa010-r8-st-james-mentone
draw-aa010-r9-mentone-dtc-clarinda,12 Sep 26,9,regular,Round 9,Mentone (DTC),Clarinda,
draw-aa010-r9-st-joan-of-arc-st-james,12 Sep 26,9,regular,Round 9,St Joan of Arc,St James,AA010093
draw-aa010-r9-st-louis-de-mont-royal-ave,12 Sep 26,9,regular,Round 9,St Louis de Mont,Royal Ave,pending-aa010-r9-st-louis-de-mont-royal-ave
draw-aa010-r10-clarinda-st-joan-of-arc,10 Oct 26,10,regular,Round 10,Clarinda,St Joan of Arc,
draw-aa010-r10-royal-ave-coatesville,10 Oct 26,10,regular,Round 10,Royal Ave,Coatesville,
draw-aa010-r10-st-james-st-louis-de-mont,10 Oct 26,10,regular,Round 10,St James,St Louis de Mont,
draw-aa010-r11-coatesville-st-james,17 Oct 26,11,regular,Round 11,Coatesville,St James,
draw-aa010-r11-mentone-dtc-royal-ave,17 Oct 26,11,regular,Round 11,Mentone (DTC),Royal Ave,
draw-aa010-r11-st-louis-de-mont-clarinda,17 Oct 26,11,regular,Round 11,St Louis de Mont,Clarinda,
draw-aa010-r12-clarinda-st-james,24 Oct 26,12,regular,Round 12,Clarinda,St James,
draw-aa010-r12-mentone-dtc-coatesville,24 Oct 26,12,regular,Round 12,Mentone (DTC),Coatesville,
draw-aa010-r12-st-louis-de-mont-st-joan-of-arc,24 Oct 26,12,regular,Round 12,St Louis de Mont,St Joan of Arc,
draw-aa010-r13-coatesville-st-louis-de-mont,7 Nov 26,13,regular,Round 13,Coatesville,St Louis de Mont,
draw-aa010-r13-st-james-royal-ave,7 Nov 26,13,regular,Round 13,St James,Royal Ave,
draw-aa010-r13-st-joan-of-arc-mentone,7 Nov 26,13,regular,Round 13,St Joan of Arc,Mentone,
draw-aa010-r14-clarinda-royal-ave,14 Nov 26,14,regular,Round 14,Clarinda,Royal Ave,
draw-aa010-r14-st-joan-of-arc-coatesville,14 Nov 26,14,regular,Round 14,St Joan of Arc,Coatesville,
draw-aa010-r14-st-louis-de-mont-mentone,14 Nov 26,14,regular,Round 14,St Louis de Mont,Mentone,
