fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
AA016011,18 Jul 26,1,Mentone,Clarinda,10,0,6,0,,,37,14,Completed,
AA016012,18 Jul 26,1,St James,Kings Park,2,8,2,4,,,18,32,Completed,
AA016013,18 Jul 26,1,Glen Huntly,St Joan of Arc,0,10,0,6,,,16,36,Completed,
pending-aa016-r1-bye-maccabi,18 Jul 26,1,Bye,Maccabi,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016021,25 Jul 26,2,Maccabi,Mentone,0,10,0,6,,,12,36,Completed,
AA016022,25 Jul 26,2,Clarinda,St James,8,2,4,2,,,29,24,Completed,
AA016023,25 Jul 26,2,Kings Park,Glen Huntly,7,3,3,3,,,23,22,Completed,
pending-aa016-r2-st-joan-of-arc-bye,25 Jul 26,2,St Joan of Arc,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016031,1 Aug 26,3,Mentone,St Joan of Arc,10,0,6,0,,,36,15,Completed,
AA016032,1 Aug 26,3,St James,Maccabi,8,2,4,2,,,30,26,Completed,
AA016033,1 Aug 26,3,Glen Huntly,Clarinda,0,10,0,6,,,16,37,Completed,
pending-aa016-r3-bye-kings-park,1 Aug 26,3,Bye,Kings Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016041,8 Aug 26,4,Kings Park,Mentone,0,10,0,6,,,11,36,Completed,
AA016042,8 Aug 26,4,St Joan of Arc,St James,9,1,5,1,,,36,14,Completed,
AA016043,8 Aug 26,4,Maccabi,Glen Huntly,8,2,4,2,,,31,25,Completed,
pending-aa016-r4-clarinda-bye,8 Aug 26,4,Clarinda,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016052,15 Aug 26,5,Maccabi,St Joan of Arc,0,10,0,6,,,9,36,Completed,
AA016053,15 Aug 26,5,Kings Park,Clarinda,1,9,1,5,,,24,33,Completed,
AA016054,15 Aug 26,5,Mentone,St James,10,0,6,0,,,36,11,Completed,
pending-aa016-r5-glen-huntly-bye,15 Aug 26,5,Glen Huntly,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016061,22 Aug 26,6,St James,Glen Huntly,9,1,4,0,,,24,10,Completed,
AA016063,22 Aug 26,6,St Joan of Arc,Kings Park,3,3,0,0,,,6,8,Completed,
AA016064,22 Aug 26,6,Clarinda,Maccabi,10,0,6,0,,,39,23,Completed,
pending-aa016-r6-bye-mentone,22 Aug 26,6,Bye,Mentone,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
AA016071,29 Aug 26,7,Mentone,Glen Huntly,10,0,6,0,,,36,7,Completed,
AA016073,29 Aug 26,7,Maccabi,Kings Park,0,10,0,6,,,7,36,Completed,
AA016074,29 Aug 26,7,St Joan of Arc,Clarinda,5,5,3,3,,,28,28,Completed,
pending-aa016-r7-st-james-bye,29 Aug 26,7,St James,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa016-r8-clarinda-mentone,5 Sep 26,8,Clarinda,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa016-r8-kings-park-st-james,5 Sep 26,8,Kings Park,St James,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-aa016-r8-maccabi-bye,5 Sep 26,8,Maccabi,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa016-r8-st-joan-of-arc-glen-huntly,5 Sep 26,8,St Joan of Arc,Glen Huntly,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
AA016092,12 Sep 26,9,St James,Clarinda,2,8,2,4,,,20,32,Completed,
AA016093,12 Sep 26,9,Glen Huntly,Kings Park,1,9,1,5,,,17,31,Completed,
pending-aa016-r9-bye-st-joan-of-arc,12 Sep 26,9,Bye,St Joan of Arc,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
pending-aa016-r9-mentone-maccabi,12 Sep 26,9,Mentone,Maccabi,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
