draw_id,date,round,home_team,away_team,fixture_id
draw-aa017-r1-clarinda-blue-clarinda-white,18 Jul 26,1,Clarinda Blue,Clarinda White,AA017011
draw-aa017-r1-ormond-blue-ormond-green,18 Jul 26,1,Ormond Blue,Ormond Green,AA017013
draw-aa017-r1-parkdale-bltc,18 Jul 26,1,Parkdale,BLTC,AA017012
draw-aa017-r2-bltc-ormond-blue,25 Jul 26,2,BLTC,Ormond Blue,AA017023
draw-aa017-r2-clarinda-white-parkdale,25 Jul 26,2,Clarinda White,Parkdale,AA017022
draw-aa017-r2-ormond-green-dendy-park,25 Jul 26,2,Ormond Green,Dendy Park,AA017024
draw-aa017-r3-clarinda-blue-ormond-green,1 Aug 26,3,Clarinda Blue,Ormond Green,AA017031
draw-aa017-r3-dendy-park-bltc,1 Aug 26,3,Dendy Park,BLTC,AA017034
draw-aa017-r3-ormond-blue-clarinda-white,1 Aug 26,3,Ormond Blue,Clarinda White,AA017033
draw-aa017-r4-bltc-clarinda-blue,8 Aug 26,4,BLTC,Clarinda Blue,AA017041
draw-aa017-r4-clarinda-white-dendy-park,8 Aug 26,4,Clarinda White,Dendy Park,AA017044
draw-aa017-r4-ormond-green-parkdale,8 Aug 26,4,Ormond Green,Parkdale,AA017042
draw-aa017-r5-bltc-clarinda-white,15 Aug 26,5,BLTC,Clarinda White,AA017053
draw-aa017-r5-clarinda-blue-parkdale,15 Aug 26,5,Clarinda Blue,Parkdale,AA017054
draw-aa017-r5-ormond-blue-dendy-park,15 Aug 26,5,Ormond Blue,Dendy Park,AA017051
draw-aa017-r6-dendy-park-clarinda-blue,22 Aug 26,6,Dendy Park,Clarinda Blue,AA017062
draw-aa017-r6-ormond-green-bltc,22 Aug 26,6,Ormond Green,BLTC,pending-aa017-r6-ormond-green-bltc
draw-aa017-r6-parkdale-ormond-blue,22 Aug 26,6,Parkdale,Ormond Blue,AA017061
draw-aa017-r7-clarinda-blue-ormond-blue,29 Aug 26,7,Clarinda Blue,Ormond Blue,AA017071
draw-aa017-r7-ormond-green-clarinda-white,29 Aug 26,7,Ormond Green,Clarinda White,AA017074
draw-aa017-r7-parkdale-dendy-park,29 Aug 26,7,Parkdale,Dendy Park,AA017072
draw-aa017-r8-bltc-parkdale,5 Sep 26,8,BLTC,Parkdale,AA017082
draw-aa017-r8-clarinda-white-clarinda-blue,5 Sep 26,8,Clarinda White,Clarinda Blue,pending-aa017-r8-clarinda-white-clarinda-blue
draw-aa017-r8-ormond-green-ormond-blue,5 Sep 26,8,Ormond Green,Ormond Blue,AA017083
draw-aa017-r9-dendy-park-ormond-green,12 Sep 26,9,Dendy Park,Ormond Green,AA017094
draw-aa017-r9-ormond-blue-bltc,12 Sep 26,9,Ormond Blue,BLTC,AA017093
draw-aa017-r9-parkdale-clarinda-white,12 Sep 26,9,Parkdale,Clarinda White,AA017092
draw-aa017-r10-bltc-dendy-park,10 Oct 26,10,BLTC,Dendy Park,
draw-aa017-r10-clarinda-white-ormond-blue,10 Oct 26,10,Clarinda White,Ormond Blue,
draw-aa017-r10-ormond-green-clarinda-blue,10 Oct 26,10,Ormond Green,Clarinda Blue,
draw-aa017-r11-clarinda-blue-bltc,17 Oct 26,11,Clarinda Blue,BLTC,
draw-aa017-r11-dendy-park-clarinda-white,17 Oct 26,11,Dendy Park,Clarinda White,
draw-aa017-r11-parkdale-ormond-green,17 Oct 26,11,Parkdale,Ormond Green,
draw-aa017-r12-clarinda-white-bltc,24 Oct 26,12,Clarinda White,BLTC,
draw-aa017-r12-dendy-park-ormond-blue,24 Oct 26,12,Dendy Park,Ormond Blue,
draw-aa017-r12-parkdale-clarinda-blue,24 Oct 26,12,Parkdale,Clarinda Blue,
draw-aa017-r13-bltc-ormond-green,7 Nov 26,13,BLTC,Ormond Green,
draw-aa017-r13-clarinda-blue-dendy-park,7 Nov 26,13,Clarinda Blue,Dendy Park,
draw-aa017-r13-ormond-blue-parkdale,7 Nov 26,13,Ormond Blue,Parkdale,
draw-aa017-r14-clarinda-white-ormond-green,14 Nov 26,14,Clarinda White,Ormond Green,
draw-aa017-r14-dendy-park-parkdale,14 Nov 26,14,Dendy Park,Parkdale,
draw-aa017-r14-ormond-blue-clarinda-blue,14 Nov 26,14,Ormond Blue,Clarinda Blue,
