draw_id,date,round,home_team,away_team,fixture_id
draw-ua008-r1-bltc-tennis-world,19 Jul 26,1,BLTC,Tennis World,UA008012
draw-ua008-r1-black-rock-le-page,19 Jul 26,1,Black Rock,Le Page,UA008013
draw-ua008-r1-elsternwick-park-carmelite,19 Jul 26,1,Elsternwick Park,Carmelite,UA008014
draw-ua008-r1-mentone-gphc,19 Jul 26,1,Mentone,GPHC,UA008011
draw-ua008-r2-carmelite-mentone,26 Jul 26,2,Carmelite,Mentone,UA008021
draw-ua008-r2-gphc-bltc,26 Jul 26,2,GPHC,BLTC,UA008022
draw-ua008-r2-le-page-elsternwick-park,26 Jul 26,2,Le Page,Elsternwick Park,UA008024
draw-ua008-r2-tennis-world-black-rock,26 Jul 26,2,Tennis World,Black Rock,UA008023
draw-ua008-r3-bltc-carmelite,2 Aug 26,3,BLTC,Carmelite,UA008032
draw-ua008-r3-black-rock-gphc,2 Aug 26,3,Black Rock,GPHC,UA008033
draw-ua008-r3-elsternwick-park-tennis-world,2 Aug 26,3,Elsternwick Park,Tennis World,UA008034
draw-ua008-r3-mentone-le-page,2 Aug 26,3,Mentone,Le Page,UA008031
draw-ua008-r4-carmelite-black-rock,9 Aug 26,4,Carmelite,Black Rock,UA008043
draw-ua008-r4-gphc-elsternwick-park,9 Aug 26,4,GPHC,Elsternwick Park,UA008044
draw-ua008-r4-le-page-bltc,9 Aug 26,4,Le Page,BLTC,pending-ua008-r4-le-page-bltc
draw-ua008-r4-tennis-world-mentone,9 Aug 26,4,Tennis World,Mentone,pending-ua008-r4-tennis-world-mentone
draw-ua008-r5-black-rock-elsternwick-park,16 Aug 26,5,Black Rock,Elsternwick Park,UA008051
draw-ua008-r5-carmelite-le-page,16 Aug 26,5,Carmelite,Le Page,UA008052
draw-ua008-r5-mentone-bltc,16 Aug 26,5,Mentone,BLTC,UA008054
draw-ua008-r5-tennis-world-gphc,16 Aug 26,5,Tennis World,GPHC,UA008053
draw-ua008-r6-bltc-black-rock,23 Aug 26,6,BLTC,Black Rock,UA008061
draw-ua008-r6-elsternwick-park-mentone,23 Aug 26,6,Elsternwick Park,Mentone,UA008062
draw-ua008-r6-gphc-carmelite,23 Aug 26,6,GPHC,Carmelite,UA008064
draw-ua008-r6-le-page-tennis-world,23 Aug 26,6,Le Page,Tennis World,UA008063
draw-ua008-r7-bltc-elsternwick-park,30 Aug 26,7,BLTC,Elsternwick Park,UA008072
draw-ua008-r7-carmelite-tennis-world,30 Aug 26,7,Carmelite,Tennis World,UA008073
draw-ua008-r7-le-page-gphc,30 Aug 26,7,Le Page,GPHC,UA008074
draw-ua008-r7-mentone-black-rock,30 Aug 26,7,Mentone,Black Rock,UA008071
draw-ua008-r8-carmelite-elsternwick-park,6 Sep 26,8,Carmelite,Elsternwick Park,UA008084
draw-ua008-r8-gphc-mentone,6 Sep 26,8,GPHC,Mentone,UA008081
draw-ua008-r8-le-page-black-rock,6 Sep 26,8,Le Page,Black Rock,UA008083
draw-ua008-r8-tennis-world-bltc,6 Sep 26,8,Tennis World,BLTC,UA008082
draw-ua008-r9-bltc-gphc,13 Sep 26,9,BLTC,GPHC,UA008092
draw-ua008-r9-black-rock-tennis-world,13 Sep 26,9,Black Rock,Tennis World,UA008093
draw-ua008-r9-elsternwick-park-le-page,13 Sep 26,9,Elsternwick Park,Le Page,UA008094
draw-ua008-r9-mentone-carmelite,13 Sep 26,9,Mentone,Carmelite,UA008091
draw-ua008-r10-carmelite-bltc,11 Oct 26,10,Carmelite,BLTC,
draw-ua008-r10-gphc-black-rock,11 Oct 26,10,GPHC,Black Rock,
draw-ua008-r10-le-page-mentone,11 Oct 26,10,Le Page,Mentone,
draw-ua008-r10-tennis-world-elsternwick-park,11 Oct 26,10,Tennis World,Elsternwick Park,
draw-ua008-r11-bltc-le-page,18 Oct 26,11,BLTC,Le Page,
draw-ua008-r11-black-rock-carmelite,18 Oct 26,11,Black Rock,Carmelite,
draw-ua008-r11-elsternwick-park-gphc,18 Oct 26,11,Elsternwick Park,GPHC,
draw-ua008-r11-mentone-tennis-world,18 Oct 26,11,Mentone,Tennis World,
draw-ua008-r12-bltc-mentone,25 Oct 26,12,BLTC,Mentone,
draw-ua008-r12-elsternwick-park-black-rock,25 Oct 26,12,Elsternwick Park,Black Rock,
draw-ua008-r12-gphc-tennis-world,25 Oct 26,12,GPHC,Tennis World,
draw-ua008-r12-le-page-carmelite,25 Oct 26,12,Le Page,Carmelite,
draw-ua008-r13-black-rock-bltc,8 Nov 26,13,Black Rock,BLTC,
draw-ua008-r13-carmelite-gphc,8 Nov 26,13,Carmelite,GPHC,
draw-ua008-r13-mentone-elsternwick-park,8 Nov 26,13,Mentone,Elsternwick Park,
draw-ua008-r13-tennis-world-le-page,8 Nov 26,13,Tennis World,Le Page,
draw-ua008-r14-black-rock-mentone,15 Nov 26,14,Black Rock,Mentone,
draw-ua008-r14-elsternwick-park-bltc,15 Nov 26,14,Elsternwick Park,BLTC,
draw-ua008-r14-gphc-le-page,15 Nov 26,14,GPHC,Le Page,
draw-ua008-r14-tennis-world-carmelite,15 Nov 26,14,Tennis World,Carmelite,
