fixture_id,date,round,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA008011,19 Jul 26,1,Mentone,GPHC,7,3,3,3,,,26,23,Completed,
UA008012,19 Jul 26,1,BLTC,Tennis World,8,2,4,2,,,31,26,Completed,
UA008013,19 Jul 26,1,Black Rock,Le Page,9,1,5,1,,,35,22,Completed,
UA008014,19 Jul 26,1,Elsternwick Park,Carmelite,8,2,4,2,,,31,25,Completed,
UA008021,26 Jul 26,2,Carmelite,Mentone,2,8,2,4,,,22,30,Completed,
UA008022,26 Jul 26,2,GPHC,BLTC,1,9,1,5,,,23,36,Completed,
UA008023,26 Jul 26,2,Tennis World,Black Rock,3,7,3,3,,,27,28,Completed,
UA008024,26 Jul 26,2,Le Page,Elsternwick Park,3,7,3,3,,,24,28,Completed,
UA008031,2 Aug 26,3,Mentone,Le Page,8,2,4,2,,,30,27,Completed,
UA008032,2 Aug 26,3,BLTC,Carmelite,10,0,6,0,,,37,13,Completed,
UA008033,2 Aug 26,3,Black Rock,GPHC,5,5,3,3,,,28,28,Completed,
UA008034,2 Aug 26,3,Elsternwick Park,Tennis World,1,9,1,5,,,16,34,Completed,
UA008043,9 Aug 26,4,Carmelite,Black Rock,2,8,2,4,,,26,32,Completed,
UA008044,9 Aug 26,4,GPHC,Elsternwick Park,5,5,3,3,,,27,27,Completed,
pending-ua008-r4-le-page-bltc,9 Aug 26,4,Le Page,BLTC,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua008-r4-tennis-world-mentone,9 Aug 26,4,Tennis World,Mentone,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
UA008051,16 Aug 26,5,Black Rock,Elsternwick Park,8,2,4,2,,,32,24,Completed,
UA008052,16 Aug 26,5,Carmelite,Le Page,1,9,1,5,,,25,36,Completed,
UA008053,16 Aug 26,5,Tennis World,GPHC,9,1,5,1,,,35,23,Completed,
UA008054,16 Aug 26,5,Mentone,BLTC,1,9,1,5,,,17,32,Completed,
UA008061,23 Aug 26,6,BLTC,Black Rock,1,9,1,5,,,25,36,Completed,
UA008062,23 Aug 26,6,Elsternwick Park,Mentone,8,2,4,2,,,27,19,Completed,
UA008063,23 Aug 26,6,Le Page,Tennis World,1,9,1,5,,,17,33,Completed,
UA008064,23 Aug 26,6,GPHC,Carmelite,8,2,4,2,,,28,18,Completed,
UA008071,30 Aug 26,7,Mentone,Black Rock,2,8,2,4,,,24,33,Completed,
UA008072,30 Aug 26,7,BLTC,Elsternwick Park,5,5,3,3,,,28,28,Completed,
UA008073,30 Aug 26,7,Carmelite,Tennis World,2,8,2,4,,,22,33,Completed,
UA008074,30 Aug 26,7,Le Page,GPHC,2,8,2,4,,,28,30,Completed,
UA008081,6 Sep 26,8,GPHC,Mentone,9,1,5,1,,,34,17,Completed,
UA008082,6 Sep 26,8,Tennis World,BLTC,2,8,2,4,,,20,25,Completed,
UA008083,6 Sep 26,8,Le Page,Black Rock,3,7,3,3,,,29,32,Completed,
UA008084,6 Sep 26,8,Carmelite,Elsternwick Park,7,3,3,3,,,21,19,Completed,
UA008091,13 Sep 26,9,Mentone,Carmelite,10,0,6,0,,,36,8,Completed,
UA008092,13 Sep 26,9,BLTC,GPHC,8,2,4,2,,,37,27,Completed,
UA008093,13 Sep 26,9,Black Rock,Tennis World,2,8,2,4,,,30,30,Completed,
UA008094,13 Sep 26,9,Elsternwick Park,Le Page,9,1,5,1,,,33,22,Completed,
