fixture_id,date,round,stage,round_label,home_team,away_team,home_points,away_points,home_rubbers,away_rubbers,home_sets,away_sets,home_games,away_games,status,notes
UA020012,19 Jul 26,1,regular,Round 1,Royal South Yarra,Royal Ave,9,1,5,1,,,32,17,Completed,
UA020013,19 Jul 26,1,regular,Round 1,Middle Brighton,Beaumaris CC Red,2,8,2,4,,,22,35,Completed,
UA020014,19 Jul 26,1,regular,Round 1,Le Page,Beaumaris CC White,0,10,0,6,,,7,36,Completed,
pending-ua020-r1-hurlingham-park-bye,19 Jul 26,1,regular,Round 1,Hurlingham Park,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020021,26 Jul 26,2,regular,Round 2,Beaumaris CC White,Hurlingham Park,9,1,5,1,,,31,14,Completed,
UA020023,26 Jul 26,2,regular,Round 2,Royal Ave,Middle Brighton,0,10,0,6,,,4,36,Completed,
UA020024,26 Jul 26,2,regular,Round 2,Beaumaris CC Red,Le Page,10,0,6,0,,,36,10,Completed,
pending-ua020-r2-bye-royal-south-yarra,26 Jul 26,2,regular,Round 2,Bye,Royal South Yarra,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020031,02 Aug 26,3,regular,Round 3,Hurlingham Park,Beaumaris CC Red,2,8,2,4,,,22,28,Completed,
UA020032,02 Aug 26,3,regular,Round 3,Royal South Yarra,Beaumaris CC White,0,10,0,6,,,14,37,Completed,
UA020034,02 Aug 26,3,regular,Round 3,Le Page,Royal Ave,9,1,5,1,,,38,25,Completed,
pending-ua020-r3-middle-brighton-bye,02 Aug 26,3,regular,Round 3,Middle Brighton,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020041,09 Aug 26,4,regular,Round 4,Royal Ave,Hurlingham Park,2,8,2,4,,,15,31,Completed,
pending-ua020-r4-beaumaris-cc-red-royal-south-yarra,09 Aug 26,4,regular,Round 4,Beaumaris CC Red,Royal South Yarra,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua020-r4-beaumaris-cc-white-middle-brighton,09 Aug 26,4,regular,Round 4,Beaumaris CC White,Middle Brighton,,,,,,,,,Wash Out,No individual scorecard / no rubbers recorded
pending-ua020-r4-bye-le-page,09 Aug 26,4,regular,Round 4,Bye,Le Page,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020051,16 Aug 26,5,regular,Round 5,Middle Brighton,Le Page,8,2,4,2,,,30,27,Completed,
UA020052,16 Aug 26,5,regular,Round 5,Beaumaris CC White,Beaumaris CC Red,10,0,6,0,,,38,18,Completed,
UA020054,16 Aug 26,5,regular,Round 5,Hurlingham Park,Royal South Yarra,3,7,3,3,,,21,30,Completed,
pending-ua020-r5-royal-ave-bye,16 Aug 26,5,regular,Round 5,Royal Ave,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020061,23 Aug 26,6,regular,Round 6,Royal South Yarra,Middle Brighton,9,1,5,1,,,31,21,Completed,
UA020062,23 Aug 26,6,regular,Round 6,Le Page,Hurlingham Park,9,1,5,1,,,34,17,Completed,
UA020063,23 Aug 26,6,regular,Round 6,Beaumaris CC Red,Royal Ave,9,1,5,1,,,35,13,Completed,
pending-ua020-r6-bye-beaumaris-cc-white,23 Aug 26,6,regular,Round 6,Bye,Beaumaris CC White,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020071,30 Aug 26,7,regular,Round 7,Hurlingham Park,Middle Brighton,7,3,3,3,,,24,23,Completed,
UA020072,30 Aug 26,7,regular,Round 7,Royal South Yarra,Le Page,9,1,5,1,,,33,15,Completed,
UA020073,30 Aug 26,7,regular,Round 7,Beaumaris CC White,Royal Ave,10,0,6,0,,,37,15,Completed,
pending-ua020-r7-beaumaris-cc-red-bye,30 Aug 26,7,regular,Round 7,Beaumaris CC Red,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020082,06 Sep 26,8,regular,Round 8,Royal Ave,Royal South Yarra,1,9,1,5,,,14,35,Completed,
UA020083,06 Sep 26,8,regular,Round 8,Beaumaris CC Red,Middle Brighton,8,2,4,2,,,32,28,Completed,
UA020084,06 Sep 26,8,regular,Round 8,Beaumaris CC White,Le Page,9,1,5,1,,,35,16,Completed,
pending-ua020-r8-bye-hurlingham-park,06 Sep 26,8,regular,Round 8,Bye,Hurlingham Park,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
UA020091,13 Sep 26,9,regular,Round 9,Hurlingham Park,Beaumaris CC White,2,8,2,4,,,16,30,Completed,
UA020093,13 Sep 26,9,regular,Round 9,Middle Brighton,Royal Ave,9,1,5,1,,,34,13,Completed,
pending-ua020-r9-le-page-beaumaris-cc-red,13 Sep 26,9,regular,Round 9,Le Page,Beaumaris CC Red,,,,,,,,,Forfeited To,No individual scorecard / no rubbers recorded
pending-ua020-r9-royal-south-yarra-bye,13 Sep 26,9,regular,Round 9,Royal South Yarra,Bye,,,,,,,,,Bye,No individual scorecard / no rubbers recorded
